"x"	"y"	"z"	"alpha"	"spin"	"theta"	"v_incoming"	"w_ball"	"w_racket"	"x_ground"	"y_ground"
"35"	2	-4.12	1.125	8.76508490677907	-1	1	11.3793103448276	426.401590369642	53.448275862069	-9.81013733770294	-2.29579791860432
"36"	2	-4.12	1.25	8.76508490677907	-1	1	11.3793103448276	368.289450183511	53.448275862069	-10.5900123868989	-2.18229351171743
"37"	2	-4.12	1.375	8.76508490677907	-1	-1	11.3793103448276	344.740852247924	53.448275862069	-9.41551139195382	-2.35968639149707
"38"	2	-4.12	1.5	8.76508490677907	-1	0	11.3793103448276	497.532544471323	53.448275862069	-10.2213080074077	-2.23423440640096
"39"	2	-4.12	0.875	4.38254245338953	-1	7	29.3103448275862	386.457052454352	16.2068965517241	-10.895685312993	-3.13297198571717
"40"	2	-4.12	1	4.38254245338953	-1	1	11.3793103448276	472.410548105836	53.448275862069	-9.18692576131486	-3.26144380787866
"41"	2	-4.12	1.125	4.38254245338953	-1	2	11.3793103448276	259.687217883766	53.448275862069	-11.84558186889	-3.05713188277872
"42"	2	-4.12	1.25	4.38254245338953	-1	0	11.3793103448276	393.498728517443	53.448275862069	-9.67123837415101	-3.226394068825
"43"	2	-4.12	1.375	4.38254245338953	-1	-1	11.3793103448276	118.622230552137	53.448275862069	-11.0140239585308	-3.12175033377775
"44"	2	-4.12	1.5	4.38254245338953	-1	-1	11.3793103448276	402.399573754519	53.448275862069	-9.80721027941524	-3.21679536242113
"45"	3.98166666666667	-4.12	0.75	27.4367204583917	-1	7	37.5862068965517	286.787789873779	16.2068965517241	-10.4527901177858	3.37608515517925
"46"	3.98166666666667	-4.12	0.875	27.4367204583917	-1	3	11.3793103448276	165.966778621078	53.448275862069	-9.20812962106415	2.71754851511147
"47"	3.98166666666667	-4.12	1	27.4367204583917	-1	1	11.3793103448276	123.374074231833	53.448275862069	-7.96260131242488	2.0738977066193
"48"	3.98166666666667	-4.12	1.125	27.4367204583917	-1	6	11.3793103448276	452.973227389157	53.448275862069	-10.9902687505452	3.65682933455767
"49"	3.98166666666667	-4.12	1.25	27.4367204583917	-1	1	11.3793103448276	108.188069146127	53.448275862069	-9.29152559949216	2.76687939168727
"50"	3.98166666666667	-4.12	1.375	27.4367204583917	-1	1	11.3793103448276	177.648340538144	53.448275862069	-9.01428988132402	2.63453230792157
"51"	3.98166666666667	-4.12	1.5	27.4367204583917	-1	1	11.3793103448276	134.601831808686	53.448275862069	-9.95990440872115	3.10980604959399
"52"	3.98166666666667	-4.12	0.75	23.5171889643358	-1	6	11.3793103448276	362.995707895607	53.448275862069	-10.7136895414479	2.27433858446467
"53"	3.98166666666667	-4.12	0.875	23.5171889643358	-1	5	11.3793103448276	480.000083521008	53.448275862069	-9.4955598568214	1.74763458448437
"54"	3.98166666666667	-4.12	1	23.5171889643358	-1	5	11.3793103448276	384.440279565752	53.448275862069	-10.4681571665163	2.16532187558031
"55"	3.98166666666667	-4.12	1.125	23.5171889643358	-1	1	11.3793103448276	198.175692372024	53.448275862069	-8.20418640049352	1.18792999277103
"56"	3.98166666666667	-4.12	1.25	23.5171889643358	-1	6	11.3793103448276	455.520487483591	53.448275862069	-11.8688508960005	2.7860621394449
"57"	3.98166666666667	-4.12	1.375	23.5171889643358	-1	0	11.3793103448276	115.310293994844	53.448275862069	-9.06594702443629	1.55516447829523
"58"	3.98166666666667	-4.12	1.5	23.5171889643358	-1	1	11.3793103448276	207.012882363051	53.448275862069	-9.65517135274079	1.82299909731468
"59"	3.98166666666667	-4.12	0.75	19.5976574702798	-1	8	37.5862068965517	352.884411159903	16.2068965517241	-11.8126476549467	1.49781013751365
"60"	3.98166666666667	-4.12	0.875	19.5976574702798	-1	8	29.3103448275862	254.846203327179	16.2068965517241	-9.59068945599989	0.709412556692738
"61"	3.98166666666667	-4.12	1	19.5976574702798	-1	3	11.3793103448276	319.910638406873	53.448275862069	-9.1897024754366	0.570920192940484
"62"	3.98166666666667	-4.12	1.125	19.5976574702798	-1	4	11.3793103448276	235.592004563659	53.448275862069	-11.489958816129	1.39314575699212
"63"	3.98166666666667	-4.12	1.25	19.5976574702798	-1	4	11.3793103448276	359.260943252593	53.448275862069	-10.9294657719885	1.19514398477615
"64"	3.98166666666667	-4.12	1.375	19.5976574702798	-1	4	11.3793103448276	314.776966162026	53.448275862069	-11.6857465663252	1.45661376836018
"65"	3.98166666666667	-4.12	1.5	19.5976574702798	-1	1	11.3793103448276	273.652204312384	53.448275862069	-9.50596097678028	0.690072204401158
"66"	3.98166666666667	-4.12	0.75	15.6781259762238	-1	6	11.3793103448276	352.840092033148	53.448275862069	-11.5267228271522	0.233020818735492
"67"	3.98166666666667	-4.12	0.875	15.6781259762238	-1	6	11.3793103448276	383.128231950104	53.448275862069	-11.7982503837336	0.31341925187948
